Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Harian(ton);Timbulan Sampah Tahunan(ton)
2019;Jawa Barat;Kab. Sukabumi;1.020,58;372.510,24
2019;Jawa Barat;Kab. Ciamis;567,32;207.071,95
2019;Jawa Barat;Kab. Sumedang;437,91;159.837,88
2019;Jawa Barat;Kab. Subang;1.039,15;379.288,79
2019;Jawa Barat;Kab. Bekasi;1.814,94;662.451,28
2019;Jawa Barat;Kab. Pangandaran;169,91;62.018,76
2019;Jawa Barat;Kota Bogor;658,10;240.205,33
2019;Jawa Barat;Kota Sukabumi;177,96;64.956,11
2019;Jawa Barat;Kota Depok;1.516,30;553.449,64
2019;Jawa Barat;Kota Cimahi;271,34;99.039,08
2019;Jawa Barat;Kota Tasikmalaya;291,95;106.560,83
2020;Jawa Barat;Kab. Bandung;1.321,35;482.291,89
2020;Jawa Barat;Kab. Cirebon;1.228,41;448.368,18
2020;Jawa Barat;Kab. Sumedang;440,59;160.816,27
2020;Jawa Barat;Kab. Bekasi;1.900,24;693.586,51
2020;Jawa Barat;Kab. Pangandaran;171,30;62.523,33
2020;Jawa Barat;Kota Bogor;673,76;245.922,33
2020;Jawa Barat;Kota Sukabumi;179,24;65.424,09
2020;Jawa Barat;Kota Bandung;1.539,82;562.034,59
2020;Jawa Barat;Kota Depok;1.295,49;472.854,23
2020;Jawa Barat;Kota Cimahi;273,38;99.782,38
2020;Jawa Barat;Kota Tasikmalaya;292,30;106.688,51
2020;Jawa Barat;Kota Banjar;83,74;30.566,85
2021;Jawa Barat;Kab. Bandung;1.268,33;462.939,17
2021;Jawa Barat;Kab. Garut;1.120,06;408.821,79
2021;Jawa Barat;Kab. Ciamis;572,10;208.818,25
2021;Jawa Barat;Kab. Cirebon;1.237,12;451.549,60
2021;Jawa Barat;Kab. Sumedang;442,36;161.462,89
2021;Jawa Barat;Kab. Indramayu;1.102,62;402.455,25
2021;Jawa Barat;Kota Bogor;673,76;245.922,33
2021;Jawa Barat;Kota Sukabumi;180,26;65.795,65
2021;Jawa Barat;Kota Bandung;1.592,55;581.280,03
2021;Jawa Barat;Kota Cirebon;204,47;74.631,55
2021;Jawa Barat;Kota Bekasi;2.375,99;867.236,75
2021;Jawa Barat;Kota Depok;1.314,14;479.660,75
2021;Jawa Barat;Kota Cimahi;274,77;100.289,42
2022;Jawa Barat;Kab. Bandung;1.283,16;468.351,94
2022;Jawa Barat;Kab. Garut;1.112,25;405.969,55
2022;Jawa Barat;Kab. Ciamis;574,68;209.758,49
2022;Jawa Barat;Kab. Kuningan;599,40;218.782,10
2022;Jawa Barat;Kab. Cirebon;1.250,33;456.368,69
2022;Jawa Barat;Kab. Sumedang;442,72;161.592,02
2022;Jawa Barat;Kab. Indramayu;1.113,65;406.481,07
2022;Jawa Barat;Kab. Karawang;1.003,94;366.436,49
2022;Jawa Barat;Kab. Bekasi;2.250,35;821.379,10
2022;Jawa Barat;Kota Bogor;744,46;271.727,57
2022;Jawa Barat;Kota Sukabumi;180,35;65.828,41
2022;Jawa Barat;Kota Bandung;1.594,18;581.876,52
2022;Jawa Barat;Kota Cirebon;209,06;76.307,82
2022;Jawa Barat;Kota Bekasi;1.830,63;668.179,00
2022;Jawa Barat;Kota Cimahi;275,46;100.542,32
2022;Jawa Barat;Kota Tasikmalaya;319,11;116.475,95
2022;Jawa Barat;Kota Banjar;85,67;31.267,80
2023;Jawa Barat;Kab. Bogor;2.813,51;1.026.931,33
2023;Jawa Barat;Kab. Cianjur;1.267,50;462.637,87
2023;Jawa Barat;Kab. Bandung;1.301,53;475.058,82
2023;Jawa Barat;Kab. Garut;1.121,82;409.465,37
2023;Jawa Barat;Kab. Tasikmalaya;705,33;257.444,19
